Year,County,CountyCode,Quantity,Price (Ksh),Total Value  (Ksh)
2015,TransNzoia,KE026,464550,350,162592500
2015,Uasin Gishu,KE027,65613232,360,23620763520
2015,Turkana,KE023,,450,    
2015,Embu,KE014,1032646,370,382079020
2015,Meru,KE012,29600000,380,11248000000
2015,Thakara Nithi,KE004,331202,315,104328630
2015,Isiolo,KE011,    ,330,    
2015,Marsabit,KE010,64240,130,8351200
2015,Kilifi,KE003,13840109,300,4152032700
2015,Kwale,KE002,338506,360,121862160
2015,Mombasa,KE001,    ,,    
2015,Taita Taveta,KE006,295119,300,88535613
2015,Vihiga,KE038,654850,350,229197500
2015,Kakamega,KE037,2053713,330,677725290
2015,Kitui,KE015,1366202,360,491832650
2015,Machakos,KE016,1421477,360,511731713
2015,Kajiado,KE034,356103,300,106830863
2015,Makueni,KE017,883868,300,265160266
2015,Kisumu,KE042,1035106,300,310531800
2015,Homabay,KE043,2760910,330,911100300
2015,Siaya,KE041,332850,300,99855000
2015,Bungoma,KE039,1850199,465,860342535
2015,Laikipia,KE031,253560,,    
2015,Samburu,KE025,315600,360,113616000
2015,Kisii,KE045,1625509,400,650203600
2015,Nyamira,KE046,6823682,360,2456525520
2015,Bomet,KE036,1243069,320,397782080
2015,Narok,KE033,157700,330,52041000
2015,BARINGO,KE030,326861,360,117669960
2015,Kericho,KE035,244000,300,73200000
2015,Nandi,KE029,334732,300,100419600
2015,Elgeyo marakwet,KE028,,500,    
2015,Kirinyaga,KE020,,300,    
2015,Nakuru,KE032,1212524,300,363757188
2015,Nyeri,KE019,1287288,360,463423673
2015,Lamu,KE005,65124,400,26049600
2015,Garissa,KE007,,,    
2015,Tana River,KE004,,,    
2015,Migori,KE044,1675007,285,477376995
2015,Nairobi,KE047,1597289,300,479186700
2015,West Pokot,KE024,130152,300,39045600
2015,Busia,KE040,876070,330,289103100
2015,Nyandarua,KE018,31829900,300,9548970000
2015,Kiambu,KE022,10056507,300,3016952180
2015,Murang'a,KE021,1952706,300,585811800
2015,Wajir,KE008,2947076,350,1031476600
2015,Mandera,KE009,25420,350,8897000
2016,Uasin Gishu,KE027,2423388,360,872419705
2016,West Pokot,KE024,196000,320,62720000
2016,Turkana ,KE023,55804,400,22321600
2016,Trans Nzoia,KE026,580000,350,203000000
2016,Kitui,KE015,1639393,360,590181399
2016,Machakos,KE016,1498806,300,449641652
2016,Kajiado,KE034,404734,300,121420306
2016,Makueni,KE017,1001114,450,450501260
2016,Migori,KE044,648970,300,194691100
2016,Siaya,KE041,715905,300,214771500
2016,Kisumu,KE042,1160360,300,348107860
2016,Homa Bay,KE043,1239596,300,371878800
2016,Taita Taveta,KE006,265420,330,87588600
2016,Mombasa,KE001,123616,320,39557248
2016,Kilifi,KE003,1749184,320,559738880
2016,Kwale ,KE002,294243,330,97100190
2016,Bomet,KE036,492149,380,187016620
2016,Kisii,KE045,1502032,300,450609600
2016,Narok,KE033,436404,300,130921200
2016,Nyamira,KE046,432420,360,155671200
2016,Nairobi,KE047,808523,300,242557000
2016,Nyeri,KE019,162909,300,48872600
2016,Meru ,KE012,638633,320,204362667
2016,Tharaka Nithi,KE013,130640,300,39192000
2016,Isiolo,KE011,20500,340,6970000
2016,Bungoma,KE039,1830226,360,658881360
2016,Busia,KE040,125665,300,37699500
2016,Vihiga,KE038,547900,350,191765000
2016,Garissa,KE007,821344,350,287470400
2016,Lamu,KE005,62022,300,18606600
2016,Mandera,KE009,25420,350,8897000
2016,Tana River,KE004,    ,,    
2016,Kirinyaga,KE020,758310,300,227493000
2016,Nakuru ,KE032,1781987,350,623695450
2016,Embu,KE014,658513,300,197554000
2016,Kakamega,KE037,6153622,360,2215303872
2016,Kiambu,KE022,10535753,320,3371440960
2016,Samburu ,KE025,315600,360,113616000
2016,Laikipia,KE031,459013,320,146884267
2016,Muranga,KE001,1952706,300,585811800
2016,Kericho,KE035,1253256,360,451172160
2016,Nandi,KE029,895638,360,322429680
2016,Elgeyomarakwet,KE028,741752,450,333788400
2016,Baringo,KE030,337072,300,101121522
2016,Nyandarua,KE018,101477,300,30443000
2016,Wajir,KE008,2947076,350,1031476600
2016,Mandera,KE009,64240,350,22484000
