id,workspace,layer,layer_label,level,acronym,status
1,Acrisols,merge_acrisols,Acrisols,1,AC,1
2,Acrisols,ferric_acrisols,Ferric,2,ACf,1
3,Acrisols,haplic_acrisols,Haplic,2,ACh,1
4,Acrisols,humic_acrisols,Humic,2,ACu,1
5,Acrisols,plinthic_acrisols,Plinthic,2,ACp,1
6,Alisols,merge_alisols,Alisols,1,AL,1
7,Alisols,haplic_alisols,Haplic,2,ALh,1
8,Andosols,merge_andosols,Andosols,1,AN,1
9,Andosols,umbric_andosols,Umbric,2,ANu,1
10,Andosols,molic_andosols,Molic,2,ANm,1
11,Arenosols,merge_arenosols,Arenosols,1,AR,1
12,Arenosols,albic_arenosols,Albic,2,ARa,1
13,Arenosols,cambic_arenosols,Cambic,2,ARc,1
14,Arenosols,ferralic_arenosols,Ferralic,2,ARf,1
15,Arenosols,haplic_arenosols,Haplic,2,ARh,1
16,Arenosols,luvic_arenosols,Luvic,2,ARl,1
17,Calcisols,merge_calcisols,Calcisols,1,CL,1
18,Calcisols,haplic_calcisols,Haplic,2,CLh,1
19,Calcisols,petric_calcisols,Petric,2,CLp,1
20,Cambisols,merge_cambisols,Cambisols,1,CM,1
21,Cambisols,calcaric_cambisols,Calcaric,2,CMc,1
22,Cambisols,chromic_cambisols,Chromic,2,CMx,1
23,Cambisols,dystric_cambisols,Dystric,2,CMd,1
24,Cambisols,eutric_cambisols,Eutric,2,CMe,1
25,Cambisols,ferralic_cambisols,Ferralic,2,CMf,1
26,Cambisols,humic_cambisols,Humic,2,CMu,1
27,Chernozems,merge_chernozems,Chernozems,1,CH,1
28,Chernozems,calcic_chernozems,Calcic,2,CHk,1
29,Ferralsols,merge_ferralsols,Ferralsols,1,FR,1
30,Ferralsols,haplic_ferralsols,Haplic,2,FRh,1
31,Ferralsols,humic_ferralsols,Humic,2,FRu,1
32,Ferralsols,rhodic_ferralsols,Rhodic,2,FRr,1
33,Ferralsols,xanthic_ferralsols,Xanthic,2,FRx,1
34,Fluvisols,merge_fluvisols,Fluvisols,1,FL,1
35,Fluvisols,calcaric_fluvisols,Calcaric,2,FLc,1
36,Fluvisols,eutric_fluvisols,Eutric,2,FLe,1
37,Gleysols,merge_gleysols,Gleysols,1,GL,1
38,Gleysols,calcic_gleysols,Calcic,2,GLk,1
39,Gleysols,eutric_gleysols,Eutric,2,GLe,1
40,Gleysols,mollic_gleysols,Molic,2,GLm,1
41,Gleysols,umbric_gleysols,Umbric,2,GLu,1
42,Leptosols,merge_leptosols,Leptosols,1,LP,1
43,Leptosols,eutric_leptosols,Eutric,2,LPe,1
44,Leptosols,lithic_leptosols,Lithic,2,LPq,1
45,Leptosols,umbric_leptsosls,Umbric,2,LPu,1
46,Lixisols,merge_lixisols,Lixisols,1,LX,1
47,Lixisols,ferric_lixisols,Ferric,2,LXf,1
48,Lixisols,haplic_lixisols,Haplic,2,LXh,1
49,Luvisols,merge_luvisols,Luvisols,1,LV,1
50,Luvisols,calcic_luvisols,Calcic,2,LVk,1
51,Luvisols,chromic_luvisols,Chromic,2,LVx,1
52,Luvisols,ferric_luvisols,Ferric,2,LVf,1
53,Luvisols,gleyic_luvisols,Gleyic,2,LVg,1
54,Luvisols,haplic_luvisols,Haplic,2,LVh,1
55,Luvisols,calcaric_luvisols,Calcaric,2,LVc,1
56,Luvisols,eutric_luvisols,Eutric,2,LVe,1
57,Nitosols,merge_nitosols,Nitosols,1,NT,1
58,Nitosols,haplic_nitosols,Haplic,2,NTh,1
59,Nitosols,humic_nitosols,Humic,2,NTu,1
60,Nitosols,rhodic_nitosols,Rhodic,2,NTr,1
61,Phaeozems,merge_phaeozems,Phaeozems,1,PH,1
62,Phaeozems,gleyic_phaeozems,Gleyic,2,PHg,1
63,Phaeozems,haplic_phaeozems,Haplic,2,PHh,1
64,Phaeozems,luvic_phaeozems,Luvic,2,PHl,1
65,Planosols,merge_planosols,Planosols,1,PL,1
66,Planosols,dystric_planosols,Dystric,2,PLd,1
67,Planosols,eutric_planosols,Eutric,2,PLe,1
68,Regosols,merge_regosols,Regosols,1,RG,1
69,Regosols,calcaric_regosols,Calcaric,2,RGc,1
70,Regosols,dystric_regosols,Dystric,2,RGd,1
71,Regosols,eutric_regosols,Eutric,2,RGe,1
72,Solonchaks,merge_solonchaks,Solonchaks,1,SC,1
73,Solonchaks,calcic_solonchaks,Calcic,2,SCk,1
74,Solonchaks,gleyic_solonchaks,Gleyic,2,SCg,1
75,Solonchaks,haplic_solonchaks,Haplic,2,SCh,1
76,Solonchaks,sodic_solonchacks,Sodic,2,SCn,1
77,Solonetz,merge_solonetz,Solonetz,1,SN,1
78,Solonetz,calcic_solonetz,Calcic,2,SNk,1
79,Solonetz,gleyic_solonetz,Gleyic,2,SNg,1
80,Solonetz,haplic_solonetz,Haplic,2,SNh,1
81,Solonetz,mollic_solonetz,Molic,2,SNm,1
82,Solonetz,stagnic_solonetz,Stagnic,2,SNj,1
83,Vertsols,merge_vertsols,Vertsols,1,VR,1
84,Vertsols,eutric_vertosols,Eutric,2,VRe,1
85,Nodata,nodata,No Data,1,,1
